dataset,fragment,events,generator,time per event,filter efficiency,size per event,score
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau10000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau10000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.66e-01,1.79e-04,6.63e+02,31.0421764015
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,2.27e-01,1.50e-03,6.54e+02,190.362879239
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,4.25e-01,5.47e-03,6.18e+02,370.608673272
BToNMuX_NToEMuPi_SoftQCD_b_mN1p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,4.78e-01,6.22e-03,6.45e+02,374.707259953
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau10000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau10000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,7.47e-02,1.24e-04,7.04e+02,47.8246429758
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,6.96e-02,9.43e-04,6.91e+02,390.402602684
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,9.65e-02,3.44e-03,7.08e+02,1026.73796791
BToNMuX_NToEMuPi_SoftQCD_b_mN1p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN1.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,9.90e-02,2.99e-03,6.96e+02,870.090634441
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau10000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,8.79e-02,4.77e-05,7.89e+02,15.6258477565
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.07e-01,4.07e-04,6.98e+02,109.701748372
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.45e-01,1.49e-03,7.01e+02,295.021511985
BToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.50e-01,1.82e-03,6.72e+02,350.492880613
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.62e-01,2.10e-03,6.44e+02,374.074555137
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,3.13e-01,5.54e-03,6.98e+02,509.103765247
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,3.05e-01,5.82e-03,7.01e+02,548.780487805
BToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,3.04e-01,5.82e-03,7.01e+02,551.618463896
BToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.14e-01,4.36e-04,6.66e+02,110.167546477
BToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.18e-01,5.00e-04,6.68e+02,121.842873461
BToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.19e-01,5.22e-04,6.67e+02,126.771722863
BToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.15e-01,5.39e-04,6.84e+02,135.021097046
BcToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau10000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,6.16e-01,1.59e-02,5.86e+02,743.417656169
BcToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,3.88e+00,8.98e-02,6.36e+02,665.895953757
BcToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.01e+01,2.03e-01,6.58e+02,580.64516129
BcToNMuX_NToEMuPi_SoftQCD_b_mN2p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN2.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.04e+01,2.09e-01,6.64e+02,580.528119331
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1000p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1000.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,4.41e+00,9.84e-02,6.24e+02,642.570281124
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,7.71e+00,1.59e-01,6.25e+02,593.936894205
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,7.81e+00,1.61e-01,6.22e+02,593.936894205
BcToNMuX_NToEMuPi_SoftQCD_b_mN3p0_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN3.0_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,7.81e+00,1.61e-01,6.29e+02,593.936894205
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau100p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau100.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.90e+00,4.07e-02,6.14e+02,616.042780749
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.85e+00,4.08e-02,6.16e+02,635.901965114
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.99e+00,4.08e-02,6.18e+02,591.86189889
BcToNMuX_NToEMuPi_SoftQCD_b_mN4p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN4.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.99e+00,4.08e-02,6.14e+02,591.133004926
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau10p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau10.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.45e-01,9.69e-04,6.88e+02,192.153722978
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau1p0mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau1.0mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.45e-01,9.69e-04,6.86e+02,191.910441794
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau0p1mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau0.1mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,1.47e-01,9.66e-04,7.03e+02,188.716335758
BcToNMuX_NToEMuPi_SoftQCD_b_mN5p5_ctau0p01mm_TuneCP5_13TeV-pythia8-evtgen,genFragments/Generator/Pythia/BHNL/BcToNMuX_NToEMuPi_SoftQCD_b_mN5.5_ctau0.01mm_TuneCP5_13TeV_pythia8-evtgen_cfi.py,100000,pythia8-evtgen,6.25e-02,9.99e-04,6.94e+02,460.578922117
